SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,4589,74,4469,46,0,4,3,1,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,24837,235,24232,370,0,29,17,12,0,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,3252,5,3196,51,0,0,0,0,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,2731,2,2707,22,0,0,0,0,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,2689,37,2598,54,0,1,-1,2,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,5640,45,5500,95,0,2,-6,7,1,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
236,JK,Jammu and Kashmir,JK_Muzaffarabad,Muzaffarabad,0,0,0,0,0,0,0,0,0,,
237,JK,Jammu and Kashmir,JK_Pulwama,Pulwama,5690,61,5541,88,0,0,-4,4,0,,
238,JK,Jammu and Kashmir,JK_Punch,Punch,2489,31,2434,24,0,0,0,0,0,,
239,JK,Jammu and Kashmir,JK_Rajouri,Rajouri,3867,6,3806,55,0,0,-2,2,0,,
240,JK,Jammu and Kashmir,JK_Ramban,Ramban,2130,5,2104,21,0,0,0,0,0,,
241,JK,Jammu and Kashmir,JK_Reasi,Reasi,1637,9,1613,15,0,0,0,0,0,,
242,JK,Jammu and Kashmir,JK_Samba,Samba,2826,75,2711,40,0,0,0,0,0,,
243,JK,Jammu and Kashmir,JK_Shopiyan,Shopiyan,2560,37,2484,39,0,3,3,0,0,,
244,JK,Jammu and Kashmir,JK_Srinagar,Srinagar,26005,269,25283,453,0,38,2,36,0,,
245,JK,Jammu and Kashmir,JK_Udhampur,Udhampur,4193,30,4106,57,0,0,-9,9,0,,
270,KA,Karnataka,KA_Bagalkote,Bagalkote,13750,19,13595,136,0,0,0,0,0,,
271,KA,Karnataka,KA_Ballari,Ballari,39104,94,38413,597,0,0,0,0,0,,
272,KA,Karnataka,KA_Belagavi,Belagavi,26610,179,26089,342,0,0,0,0,0,,
274,KA,Karnataka,KA_Bengaluru Rural,Bengaluru Rural,18585,137,18292,156,0,0,0,0,0,,
273,KA,Karnataka,KA_Bengaluru Urban,Bengaluru Urban,396300,4598,387326,4375,1,0,0,0,0,,
275,KA,Karnataka,KA_Bidar,Bidar,7361,30,7155,172,4,0,0,0,0,,
276,KA,Karnataka,KA_Chamarajanagara,Chamarajanagara,6892,23,6739,119,11,0,0,0,0,,
277,KA,Karnataka,KA_Chikkaballapura,Chikkaballapura,13471,115,13238,117,1,0,0,0,0,,
278,KA,Karnataka,KA_Chikkamagaluru,Chikkamagaluru,13896,55,13702,139,0,0,0,0,0,,
279,KA,Karnataka,KA_Chitradurga,Chitradurga,14579,157,14353,69,0,0,0,0,0,,
280,KA,Karnataka,KA_Dakshina Kannada,Dakshina Kannada,33530,252,32540,736,2,0,0,0,0,,
281,KA,Karnataka,KA_Davanagere,Davanagere,22251,72,21915,264,0,0,0,0,0,,
282,KA,Karnataka,KA_Dharwad,Dharwad,22097,60,21426,611,0,0,0,0,0,,
283,KA,Karnataka,KA_Gadag,Gadag,10970,14,10815,141,0,0,0,0,0,,
284,KA,Karnataka,KA_Hassan,Hassan,28380,78,27908,394,0,0,0,0,0,,
285,KA,Karnataka,KA_Haveri,Haveri,10991,8,10793,190,0,0,0,0,0,,
286,KA,Karnataka,KA_Kalaburagi,Kalaburagi,21465,174,20964,327,0,0,0,0,0,,
287,KA,Karnataka,KA_Kodagu,Kodagu,5932,71,5789,72,0,0,0,0,0,,
288,KA,Karnataka,KA_Kolar,Kolar,9970,78,9715,177,0,0,0,0,0,,
289,KA,Karnataka,KA_Koppal,Koppal,13923,9,13635,279,0,0,0,0,0,,
290,KA,Karnataka,KA_Mandya,Mandya,19622,48,19424,150,0,0,0,0,0,,
291,KA,Karnataka,KA_Mysuru,Mysuru,53151,205,51924,1022,0,0,0,0,0,,
0,KA,Karnataka,KA_Other State,Other State,36,0,33,3,0,0,0,0,0,,
292,KA,Karnataka,KA_Raichur,Raichur,14254,32,14064,158,0,0,0,0,0,,
293,KA,Karnataka,KA_Ramanagara,Ramanagara,7409,10,7322,77,0,0,0,0,0,,
294,KA,Karnataka,KA_Shivamogga,Shivamogga,22283,98,21836,349,0,0,0,0,0,,
295,KA,Karnataka,KA_Tumakuru,Tumakuru,25004,214,24406,384,0,0,0,0,0,,
296,KA,Karnataka,KA_Udupi,Udupi,23244,27,23028,189,0,0,0,0,0,,
297,KA,Karnataka,KA_Uttara Kannada,Uttara Kannada,14480,67,14235,178,0,0,0,0,0,,
298,KA,Karnataka,KA_Vijayapura,Vijayapura,14385,42,14137,206,0,0,0,0,0,,
299,KA,Karnataka,KA_Yadgir,Yadgir,10651,19,10571,61,0,0,0,0,0,,
0,KL,Kerala,KL_Other State,Other State,0,0,0,0,0,0,0,0,0,,
300,KL,Kerala,KL_Alappuzha,Alappuzha,64992,3623,61062,286,21,0,0,0,0,,
301,KL,Kerala,KL_Ernakulam,Ernakulam,100602,10790,89425,365,22,0,0,0,0,,
302,KL,Kerala,KL_Idukki,Idukki,21321,5133,16154,29,5,0,0,0,0,,
303,KL,Kerala,KL_Kannur,Kannur,44857,3383,41219,240,15,0,0,0,0,,
304,KL,Kerala,KL_Kasaragod,Kasaragod,25667,1692,23877,93,5,0,0,0,0,,
305,KL,Kerala,KL_Kollam,Kollam,68981,4984,63726,253,18,0,0,0,0,,
306,KL,Kerala,KL_Kottayam,Kottayam,62612,6285,56145,176,6,0,0,0,0,,
307,KL,Kerala,KL_Kozhikode,Kozhikode,98825,6353,92086,366,20,0,0,0,0,,
308,KL,Kerala,KL_Malappuram,Malappuram,101471,4423,96659,377,12,0,0,0,0,,
309,KL,Kerala,KL_Palakkad,Palakkad,52934,5197,47573,156,8,0,0,0,0,,
310,KL,Kerala,KL_Pathanamthitta,Pathanamthitta,40578,6374,34121,76,7,0,0,0,0,,
311,KL,Kerala,KL_Thiruvananthapuram,Thiruvananthapuram,89398,3644,84963,714,77,0,0,0,0,,
312,KL,Kerala,KL_Thrissur,Thrissur,83671,5072,78218,371,10,0,0,0,0,,
313,KL,Kerala,KL_Wayanad,Wayanad,21374,3444,17866,63,1,0,0,0,0,,
314,LA,Ladakh,LA_Kargil,Kargil,2104,4,2056,44,0,0,0,0,0,,
315,LA,Ladakh,LA_Leh,Leh,7569,64,7420,85,0,0,0,0,0,,
316,LD,Lakshadweep,LD_Lakshadweep,Lakshadweep,50,50,0,0,0,0,0,0,0,,
369,MH,Maharashtra,MH_Ahmednagar,Ahmednagar,71216,1206,68929,1080,1,120,65,53,2,,
370,MH,Maharashtra,MH_Akola,Akola,11489,337,10785,362,5,39,-13,52,0,,
371,MH,Maharashtra,MH_Amravati,Amravati,21425,580,20451,392,2,48,32,16,0,,
372,MH,Maharashtra,MH_Aurangabad,Aurangabad,49074,549,47272,1238,15,33,33,0,0,,
374,MH,Maharashtra,MH_Beed,Beed,17869,445,16875,542,7,51,26,25,0,,
373,MH,Maharashtra,MH_Bhandara,Bhandara,13422,283,12836,301,2,23,-5,28,0,,
375,MH,Maharashtra,MH_Buldhana,Buldhana,14638,647,13749,236,6,46,45,1,0,,
376,MH,Maharashtra,MH_Chandrapur,Chandrapur,24002,345,23245,410,2,12,11,0,1,,
377,MH,Maharashtra,MH_Dhule,Dhule,16018,219,15452,344,3,19,19,0,0,,
378,MH,Maharashtra,MH_Gadchiroli,Gadchiroli,8804,95,8609,94,6,7,-17,24,0,,
379,MH,Maharashtra,MH_Gondia,Gondia,14257,210,13867,174,6,12,12,0,0,,
380,MH,Maharashtra,MH_Hingoli,Hingoli,4388,150,4141,97,0,6,6,0,0,,
381,MH,Maharashtra,MH_Jalgaon,Jalgaon,57199,570,55135,1474,20,29,23,6,0,,
382,MH,Maharashtra,MH_Jalna,Jalna,13217,192,12666,358,1,16,13,1,2,,
383,MH,Maharashtra,MH_Kolhapur,Kolhapur,49065,185,47207,1670,3,13,13,0,0,,
384,MH,Maharashtra,MH_Latur,Latur,24186,591,22903,688,4,40,28,12,0,,
385,MH,Maharashtra,MH_Mumbai,Mumbai,305571,6362,287012,11297,900,435,-77,502,10,"[Sep 9]After reconciling COVID-19 cases in Mumbai, owing to the removal of duplicates and change of addresses as per the original residence, 239 cases have been removed from the progressive figures.",
386,MH,Maharashtra,MH_Mumbai Suburban,Mumbai Suburban,0,0,0,0,0,0,0,0,0,,
387,MH,Maharashtra,MH_Nagpur,Nagpur,133698,4074,126262,3322,40,283,-83,363,3,District administration provides number of persons tested instead of the number of samples tested.,
388,MH,Maharashtra,MH_Nanded,Nanded,22098,433,20989,671,5,48,46,2,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
389,MH,Maharashtra,MH_Nandurbar,Nandurbar,9461,657,8610,193,1,44,15,25,4,,
390,MH,Maharashtra,MH_Nashik,Nashik,120013,1251,116786,1975,1,155,34,121,0,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
391,MH,Maharashtra,MH_Osmanabad,Osmanabad,17383,316,16511,553,3,21,2,18,1,,
0,MH,Maharashtra,MH_Other State,Other State,150,67,0,81,2,0,0,0,0,,
392,MH,Maharashtra,MH_Palghar,Palghar,47766,442,46388,919,17,39,38,1,0,,
393,MH,Maharashtra,MH_Parbhani,Parbhani,7877,159,7414,293,11,5,0,5,0,,
394,MH,Maharashtra,MH_Pune,Pune,384936,11515,365484,7899,38,487,-1411,1887,11,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
395,MH,Maharashtra,MH_Raigad,Raigad,68236,704,66004,1521,7,61,33,27,1,Number of active cases differs in the state bulletin and district bulletin. We follow the state bulletin.,
396,MH,Maharashtra,MH_Ratnagiri,Ratnagiri,11450,203,10857,388,2,19,19,0,0,,
397,MH,Maharashtra,MH_Sangli,Sangli,50694,489,48423,1779,3,10,8,2,0,,
398,MH,Maharashtra,MH_Satara,Satara,55963,689,53458,1806,10,67,-38,100,5,,
399,MH,Maharashtra,MH_Sindhudurg,Sindhudurg,6324,300,5855,168,1,13,10,3,0,,
400,MH,Maharashtra,MH_Solapur,Solapur,55542,855,52853,1815,19,78,-28,102,4,,
401,MH,Maharashtra,MH_Thane,Thane,266299,7852,252648,5738,61,314,44,258,12,,
402,MH,Maharashtra,MH_Wardha,Wardha,10423,286,9835,289,13,39,9,30,0,,
403,MH,Maharashtra,MH_Washim,Washim,7168,196,6818,152,2,25,25,0,0,,
404,MH,Maharashtra,MH_Yavatmal,Yavatmal,15033,416,14192,421,4,40,10,30,0,,
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,339,0,338,1,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,545,14,531,0,0,0,-2,2,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,8514,98,8296,120,0,3,0,3,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,120,3,115,2,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,1356,2,1352,2,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,198,0,198,0,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,199,1,196,2,0,1,1,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,57,0,57,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,1714,2,1695,17,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,510,1,508,1,0,0,-5,5,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,175,1,173,1,0,0,0,0,0,,
0,MN,Manipur,MN_CAPF Personnel,CAPF Personnel,2649,1248,1399,2,0,2,2,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,1314,1233,58,23,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,365,352,4,9,0,1,1,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,1480,1395,58,27,0,3,3,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,5635,5408,150,77,0,2,2,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,8819,8665,52,102,0,7,7,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,266,264,2,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,791,756,27,8,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,252,235,17,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,620,591,19,10,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,330,311,18,1,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,37,22,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,488,466,21,1,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,1377,1339,32,6,0,2,2,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,283,269,13,1,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,2315,2252,23,40,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,537,516,18,3,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,652,5,637,10,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,1291,8,1268,15,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,2086,15,2057,14,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,1128,15,1096,17,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,3137,29,3094,14,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,2877,66,2783,28,0,0,0,0,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,3529,184,3272,73,0,0,0,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,1496,9,1477,10,0,0,0,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,41932,1094,40236,602,0,0,0,0,0,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,863,7,829,27,0,0,0,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,2093,17,2044,32,0,0,0,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,2816,62,2709,45,0,0,0,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,2744,63,2596,85,0,0,0,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,1892,28,1844,20,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,2913,48,2838,27,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,4058,37,3963,58,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,978,14,963,1,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,1542,44,1472,26,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,16347,150,15977,220,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,2117,23,2059,35,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,3807,39,3707,61,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,57229,1205,55100,924,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,16114,320,15544,250,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,2485,31,2427,27,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,2239,23,2199,17,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,2323,28,2232,63,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,5366,73,5190,103,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,1217,5,1202,10,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,2813,35,2743,35,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,3229,4,3196,29,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,3495,9,3456,30,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,3012,25,2950,37,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,677,4,671,2,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,1114,43,1067,4,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,2454,24,2384,46,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,2389,51,2273,65,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,4648,96,4472,80,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,4071,15,4021,35,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,5317,93,5075,149,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,3445,25,3378,42,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,2777,37,2692,48,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,1569,28,1531,10,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,2973,51,2892,30,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,1772,25,1725,22,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,1468,32,1422,14,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,3624,17,3577,30,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,1998,20,1965,13,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,1904,25,1853,26,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,1298,11,1260,27,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,4916,119,4693,104,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,1297,16,1264,17,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,3583,32,3480,71,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,2852,48,2796,8,0,0,-1,1,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,94,0,94,0,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,19,0,19,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,23,0,23,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,294,2,292,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,330,3,327,0,0,0,-1,1,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,410,1,409,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,82,0,82,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,36,1,35,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,29,0,29,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,180,1,178,1,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,0,0,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,6465,41,6291,59,74,3,-1,4,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,41,0,40,1,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,3777,49,3669,21,38,0,0,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,19,0,10,0,9,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,192,12,171,3,6,1,1,0,0,,
445,NL,Nagaland,NL_Mon,Mon,605,1,593,2,9,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,504,0,504,0,0,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,47,0,47,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,245,0,243,1,1,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,39,1,35,1,2,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,142,0,139,0,3,0,0,0,0,,
0,OR,Odisha,OR_State Pool,State Pool,8374,35,8339,0,0,2,2,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,11318,84,11197,37,0,12,12,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,8751,1,8709,41,0,0,0,0,0,,
453,OR,Odisha,OR_Balasore,Balasore,12231,82,12049,100,0,10,10,0,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,10442,105,10295,42,0,13,13,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,7472,44,7399,29,0,1,1,0,0,,
455,OR,Odisha,OR_Boudh,Boudh,2798,5,2782,11,0,0,0,0,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,28943,67,28731,145,0,7,7,0,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,1313,9,1299,5,0,4,4,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,5707,2,5676,29,0,1,1,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,4051,14,4004,33,0,0,0,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,21859,13,21590,256,0,1,1,0,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,9132,28,9066,38,0,5,5,0,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,12163,62,12075,26,0,8,8,0,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,7745,65,7654,26,0,2,2,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,6345,11,6303,31,0,2,2,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,5940,3,5904,33,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,9130,12,9089,29,0,1,1,0,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,7981,16,7928,37,0,1,1,0,0,,
469,OR,Odisha,OR_Khordha,Khordha,52985,70,52570,345,0,6,5,0,1,,
470,OR,Odisha,OR_Koraput,Koraput,7878,18,7844,16,0,4,4,0,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,5238,3,5207,28,0,0,0,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,14064,6,13966,92,0,3,3,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,5819,5,5798,16,0,3,3,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,6479,9,6423,47,0,1,1,0,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,7504,73,7404,27,0,4,4,0,0,,
476,OR,Odisha,OR_Puri,Puri,14279,156,14003,120,0,15,15,0,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,8399,9,8345,45,0,0,0,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,9778,190,9511,77,0,10,10,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,4749,21,4707,21,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,15283,218,14890,175,0,14,14,0,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,14919,110,14234,575,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,2311,33,2212,66,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,9392,72,9104,216,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,3977,45,3857,75,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,2580,40,2428,112,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,3895,20,3805,70,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,4568,10,4412,146,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,8118,73,7780,265,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,7980,57,7594,329,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,20455,209,19580,666,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,4887,67,4620,200,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,25503,323,24190,990,0,29,29,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,2458,19,2387,52,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,2784,27,2662,95,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,5833,35,5635,163,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,16213,233,15481,499,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,3483,70,3246,167,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,19214,777,18082,355,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,4428,17,4205,206,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,2557,71,2394,92,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,3856,15,3744,97,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,2140,30,2003,107,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,3858,28,3766,64,0,0,0,0,0,"2 case of TN has been transferred,so has been reduced from the total count.",
482,PY,Puducherry,PY_Mahe,Mahe,1967,89,1869,9,0,0,0,0,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,30855,168,30162,525,0,0,0,0,0,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,2114,9,2060,45,0,0,0,0,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,16947,195,16531,221,0,0,0,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,21717,102,21537,78,0,0,0,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,2274,74,2166,34,0,0,0,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,2620,18,2567,35,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,5009,22,4934,53,0,0,0,0,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,9061,15,8926,120,0,0,0,0,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,10164,189,9935,40,0,0,0,0,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,19045,21,18857,167,0,0,0,0,0,,
